new entry "Interrupt_MYT_Swordmage_LegacyShiedling"
type "InterruptData"
data "DisplayName" "h037af258gadadga0ffgf10cg2652461cc27e;1"
data "Description" "hf79b6d8agca34g209bg45b3gc66d4634788d;1"
data "InterruptContext" "OnPostRoll;OnPreDamage"
data "InterruptContextScope" "Nearby"
data "Container" "YesNoDecision"
data "Conditions" "IsAbleToReact(context.Observer) and not Self(context.Target,context.Observer) and not Self(context.Source,context.Observer) and not DistanceToEntityGreaterThan(18, context.ObserverPosition, context.Target) and (HasInterruptedAttack() and IsFlatValueInterruptInteresting(context.Observer.ProficiencyBonus, context.Source)) and not AnyEntityIsItem();"
data "Properties" "IF(HasInterruptedAttack()):AdjustRoll(OBSERVER_TARGET, -ProficiencyBonus);ApplyStatus(OBSERVER_TARGET, MYT_SWORDMAGE_LEGACYSHIELDING, 100, 10);"
data "Cost" "ReactionActionPoint:1;"
data "InterruptDefaultValue" "Ask;Enabled"
data "EnableCondition" "not HasStatus('SG_Polymorph') or HasAnyStatus({'SG_Disguise','WILDSHAPE_STARRY_ARCHER_PLAYER','WILDSHAPE_STARRY_CHALICE_PLAYER','WILDSHAPE_STARRY_DRAGON_PLAYER'});"
data "EnableContext" "OnStatusApplied;OnStatusRemove"

